No ,Kode ,Title,Harga 20%,Harga Dasar,Deskripsi Pendek,,Warna ,,Bahan ,,Ukuran ,,Keterangan,,Heels,stok,Berat,Kategori,Featured Image,Gambar ,,,stock
40,SHJ 037,SHJ 037,224760,187300,"Warna:Ungu Kombinasi,Bahan:Sifon-Jersey,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Ungu Kombinasi,",Bahan:",Sifon-Jersey,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,40.jpg,40.jpg,40,.jpg,1
41,SNS 238,SNS 238,256560,213800,"Warna:Tosca,Bahan:Hycon,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Tosca,",Bahan:",Hycon,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,41.jpg,41.jpg,41,.jpg,1
42,SNS 056,SNS 056,237600,198000,"Warna:Coklat Kombinasi,Bahan:Cotton,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Coklat Kombinasi,",Bahan:",Cotton,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,42.jpg,42.jpg,42,.jpg,1
43,SNS 861,SNS 861,208320,173600,"Warna:Biru,Bahan:Denim,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Biru,",Bahan:",Denim,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,43.jpg,43.jpg,43,.jpg,1
44,SHJ 888,SHJ 888,233520,194600,"Warna:Tosca,Bahan:Sifon-Jersey,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Tosca,",Bahan:",Sifon-Jersey,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,44.jpg,44.jpg,44,.jpg,1
45,SHJ 535,SHJ 535,224760,187300,"Warna:Cream Kombinasi,Bahan:Btk-Jersey,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Cream Kombinasi,",Bahan:",Btk-Jersey,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,45.jpg,45.jpg,45,.jpg,1
46,SOP 763,SOP 763,225600,188000,"Warna:Abu Hijau,Bahan:Spandek,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Abu Hijau,",Bahan:",Spandek,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,46.jpg,46.jpg,46,.jpg,1
47,SNS 951,SNS 951,237600,198000,"Warna:Coklat Tua,Bahan:Cotton Rayon,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Coklat Tua,",Bahan:",Cotton Rayon,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,47.jpg,47.jpg,47,.jpg,1
48,SRT 021,SRT 021,144960,120800,"Warna:Coklat Hijau,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Coklat Hijau,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,48.jpg,48.jpg,48,.jpg,1
49,SLR 871,SLR 871,237600,198000,"Warna:Biru Merah,Bahan:Jeans,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Biru Merah,",Bahan:",Jeans,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,49.jpg,49.jpg,49,.jpg,1
50,SLR 371,SLR 371,195600,163000,"Warna:Pink,Bahan:Denim,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Pink,",Bahan:",Denim,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,50.jpg,50.jpg,50,.jpg,1
51,SAT 378,SAT 378,190440,158700,"Warna:Orange Cream,Bahan:Spandek,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Orange Cream,",Bahan:",Spandek,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,51.jpg,51.jpg,51,.jpg,1
52,SIR 674,SIR 674,318720,265600,"Warna:Hijau,Bahan:Hycon,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Hijau,",Bahan:",Hycon,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,52.jpg,52.jpg,52,.jpg,1
53,SFT 146,SFT 146,302640,252200,"Warna:Abu,Bahan:Hycon,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Hycon,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,53.jpg,53.jpg,53,.jpg,1
54,SNS 784,SNS 784,273600,228000,"Warna:Pink,Bahan:Jersey,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Pink,",Bahan:",Jersey,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,54.jpg,54.jpg,54,.jpg,1
55,SNS 806,SNS 806,273600,228000,"Warna:Merah,Bahan:Jersey,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Merah,",Bahan:",Jersey,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,55.jpg,55.jpg,55,.jpg,1
56,SSL 078,SSL 078,159360,132800,"Warna:Orange,Bahan:Cotton,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Orange,",Bahan:",Cotton,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,56.jpg,56.jpg,56,.jpg,1
57,SSL 045,SSL 045,170160,141800,"Warna:Orange,Bahan:Cotton,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Orange,",Bahan:",Cotton,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,57.jpg,57.jpg,57,.jpg,1
58,SSL 049,SSL 049,159360,132800,"Warna:Abu,Bahan:Cotton,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Cotton,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,58.jpg,58.jpg,58,.jpg,1
59,SSL 583,SSL 583,170160,141800,"Warna:Abu,Bahan:Cotton,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Abu,",Bahan:",Cotton,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,59.jpg,59.jpg,59,.jpg,1
60,SSK 360,SSK 360,173280,144400,"Warna:Maroon,Bahan:Kelly,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Kelly,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,60.jpg,60.jpg,60,.jpg,1
61,SSK 400,SSK 400,164640,137200,"Warna:Maroon,Bahan:Kelly,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Kelly,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,61.jpg,61.jpg,61,.jpg,1
62,SDL 920,SDL 920,162960,135800,"Warna:Hitam,Bahan:Kelly,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Kelly,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,62.jpg,62.jpg,62,.jpg,1
63,SDL 473,SDL 473,171480,142900,"Warna:Hitam,Bahan:Kelly,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Kelly,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,63.jpg,63.jpg,63,.jpg,1
64,SSK 885,SSK 885,164640,137200,"Warna:Hijau,Bahan:Wolfit,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Hijau,",Bahan:",Wolfit,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,64.jpg,64.jpg,64,.jpg,1
65,SSK 605,SSK 605,173280,144400,"Warna:Hijau,Bahan:Wolfit,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Hijau,",Bahan:",Wolfit,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,65.jpg,65.jpg,65,.jpg,1
66,SDR 668,SDR 668,162960,135800,"Warna:Coklat,Bahan:Kelly,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Kelly,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,66.jpg,66.jpg,66,.jpg,1
67,SDR 831,SDR 831,171480,142900,"Warna:Coklat,Bahan:Kelly,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Kelly,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,67.jpg,67.jpg,67,.jpg,1
68,SLR 635,SLR 635,238440,198700,"Warna:Maroon,Bahan:Spandek Sutera,Ukuran:All Size,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Spandek Sutera,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,68.jpg,68.jpg,68,.jpg,1
69,SLR 093,SLR 093,246840,205700,"Warna:Polkadot,Bahan:Jersey,Ukuran:All Size,Keterangan:,Heels:",Warna:,Polkadot,",Bahan:",Jersey,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,69.jpg,69.jpg,69,.jpg,1
70,SYI 188,SYI 188,166320,138600,"Warna:Ungpnk,Bahan:Catton,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Ungpnk,",Bahan:",Catton,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,70.jpg,70.jpg,70,.jpg,1
