No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
64,SSK 885,SSK 885," 	164,640 "," 	137,200 ",warna:,Hijau,",",Bahan:,Wolfit,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
65,SSK 605,SSK 605," 	173,280 "," 	144,400 ",warna:,Hijau,",",Bahan:,Wolfit,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
66,SDR 668,SDR 668," 	162,960 "," 	135,800 ",warna:,Coklat,",",Bahan:,Kelly,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
67,SDR 831,SDR 831," 	171,480 "," 	142,900 ",warna:,Coklat,",",Bahan:,Kelly,",",Ukuran:,S-M-L-XL,",",Keterangan Lain :,,
68,SLR 635,SLR 635," 	238,440 "," 	198,700 ",warna:,Maroon,",",Bahan:,Spandek Sutera,",",Ukuran:,All Size,",",Keterangan Lain :,,
69,SLR 093,SLR 093," 	246,840 "," 	205,700 ",warna:,Polkadot,",",Bahan:,Jersey,",",Ukuran:,All Size,",",Keterangan Lain :,,
70,SYI 188,SYI 188," 	166,320 "," 	138,600 ",warna:,Ungpnk,",",Bahan:,Catton,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
71,SLS 560,SLS 560," 	242,400 "," 	202,000 ",warna:,Putih,",",Bahan:,Cotton,",",Ukuran:,All Size,",",Keterangan Lain :,,
72,SNY 431,SNY 431," 	117,840 "," 	98,200 ",warna:,Hitam,",",Bahan:,Spandek Sutera,",",Ukuran:,All Size,",",Keterangan Lain :,,
73,SOP 707,SOP 707," 	130,680 "," 	108,900 ",warna:,Abu,",",Bahan:,Spandek Sutera,",",Ukuran:,All Size,",",Keterangan Lain :,,
74,SMR 789,SMR 789," 	106,560 "," 	88,800 ",warna:,Putih,",",Bahan:,Spandek Sutera,",",Ukuran:,All Size,",",Keterangan Lain :,,
75,SKL 290,SKL 290," 	85,200 "," 	71,000 ",warna:,Coklat,",",Bahan:,Spandek,",",Ukuran:,All Size,",",Keterangan Lain :,,
76,SOP 897,SOP 897," 	123,600 "," 	103,000 ",warna:,Coklat,",",Bahan:,Spandek,",",Ukuran:,All Size,",",Keterangan Lain :,,
